"VarName","TimeString","VarValue","Validity","Time_ms"
"Out_LMN_PID","10/25/2018 20:17:05",4.295302E-23,1,43398845194.2824
"Out_Proportional","10/25/2018 20:17:05",0,1,43398845194.2824
"Pump","10/25/2018 20:17:05",0,1,43398845194.2824
"Solenoid","10/25/2018 20:17:05",0,1,43398845194.2824
"PV_Out_PID","10/25/2018 20:17:05",38.57784,1,43398845194.2824
"SP_Out_PID","10/25/2018 20:17:05",-7.230892E-07,1,43398845194.2824
"In_Analog","10/25/2018 20:17:06",0,1,43398845205.8565
"In_Analog_MOVE","10/25/2018 20:17:06",0,1,43398845205.8565
"In_Analog_VOLTAGE","10/25/2018 20:17:06",3.032856,1,43398845205.8565
"In_PV_Percentual","10/25/2018 20:17:06",38.57784,1,43398845205.8565
"Out_LMN_PER_PID","10/25/2018 20:17:06",0,1,43398845205.8565
"Out_LMN_PID","10/25/2018 20:17:06",4.295302E-23,1,43398845205.8565
"Out_Proportional","10/25/2018 20:17:06",0,1,43398845205.8565
"Pump","10/25/2018 20:17:06",0,1,43398845205.8565
"Solenoid","10/25/2018 20:17:06",0,1,43398845205.8565
"PV_Out_PID","10/25/2018 20:17:06",38.57784,1,43398845205.8565
"SP_Out_PID","10/25/2018 20:17:06",-7.230892E-07,1,43398845205.8565
"In_Analog","10/25/2018 20:17:07",0,1,43398845217.4306
"In_Analog_MOVE","10/25/2018 20:17:07",0,1,43398845217.4306
"In_Analog_VOLTAGE","10/25/2018 20:17:07",3.032856,1,43398845217.4306
"In_PV_Percentual","10/25/2018 20:17:07",38.57784,1,43398845217.4306
"Out_LMN_PER_PID","10/25/2018 20:17:07",0,1,43398845217.4306
"Out_LMN_PID","10/25/2018 20:17:07",4.295302E-23,1,43398845217.4306
"Out_Proportional","10/25/2018 20:17:07",0,1,43398845217.4306
"Pump","10/25/2018 20:17:07",0,1,43398845217.4306
"Solenoid","10/25/2018 20:17:07",0,1,43398845217.4306
"PV_Out_PID","10/25/2018 20:17:07",38.57784,1,43398845217.4306
"SP_Out_PID","10/25/2018 20:17:07",-7.230892E-07,1,43398845217.4306
"In_Analog","10/25/2018 20:17:08",0,1,43398845229.0046
"In_Analog_MOVE","10/25/2018 20:17:08",0,1,43398845229.0046
"In_Analog_VOLTAGE","10/25/2018 20:17:08",3.032856,1,43398845229.0046
"In_PV_Percentual","10/25/2018 20:17:08",38.57784,1,43398845229.0046
"Out_LMN_PER_PID","10/25/2018 20:17:08",0,1,43398845229.0046
"Out_LMN_PID","10/25/2018 20:17:08",4.295302E-23,1,43398845229.0046
"Out_Proportional","10/25/2018 20:17:08",0,1,43398845229.0046
"Pump","10/25/2018 20:17:08",0,1,43398845229.0046
"Solenoid","10/25/2018 20:17:08",0,1,43398845229.0046
"PV_Out_PID","10/25/2018 20:17:08",38.57784,1,43398845229.0046
"SP_Out_PID","10/25/2018 20:17:08",-7.230892E-07,1,43398845229.0046
"In_Analog","10/25/2018 20:17:09",0,1,43398845240.5787
"In_Analog_MOVE","10/25/2018 20:17:09",0,1,43398845240.5787
"In_Analog_VOLTAGE","10/25/2018 20:17:09",3.032856,1,43398845240.5787
"In_PV_Percentual","10/25/2018 20:17:09",38.57784,1,43398845240.5787
"Out_LMN_PER_PID","10/25/2018 20:17:09",0,1,43398845240.5787
"Out_LMN_PID","10/25/2018 20:17:09",4.295302E-23,1,43398845240.5787
"Out_Proportional","10/25/2018 20:17:09",0,1,43398845240.5787
"Pump","10/25/2018 20:17:09",0,1,43398845240.5787
"Solenoid","10/25/2018 20:17:09",0,1,43398845240.5787
"PV_Out_PID","10/25/2018 20:17:09",38.57784,1,43398845240.5787
"SP_Out_PID","10/25/2018 20:17:09",-7.230892E-07,1,43398845240.5787
"In_Analog","10/25/2018 20:17:10",0,1,43398845252.1528
"In_Analog_MOVE","10/25/2018 20:17:10",0,1,43398845252.1528
"In_Analog_VOLTAGE","10/25/2018 20:17:10",3.032856,1,43398845252.1528
"In_PV_Percentual","10/25/2018 20:17:10",38.57784,1,43398845252.1528
"Out_LMN_PER_PID","10/25/2018 20:17:10",0,1,43398845252.1528
"Out_LMN_PID","10/25/2018 20:17:10",4.295302E-23,1,43398845252.1528
"Out_Proportional","10/25/2018 20:17:10",0,1,43398845252.1528
"Pump","10/25/2018 20:17:10",0,1,43398845252.1528
"Solenoid","10/25/2018 20:17:10",0,1,43398845252.1528
"PV_Out_PID","10/25/2018 20:17:10",38.57784,1,43398845252.1528
"SP_Out_PID","10/25/2018 20:17:10",-7.230892E-07,1,43398845252.1528
"In_Analog","10/25/2018 20:17:11",0,1,43398845263.7269
"In_Analog_MOVE","10/25/2018 20:17:11",0,1,43398845263.7269
"In_Analog_VOLTAGE","10/25/2018 20:17:11",3.032856,1,43398845263.7269
"In_PV_Percentual","10/25/2018 20:17:11",38.57784,1,43398845263.7269
"Out_LMN_PER_PID","10/25/2018 20:17:11",0,1,43398845263.7269
"Out_LMN_PID","10/25/2018 20:17:11",4.295302E-23,1,43398845263.7269
"Out_Proportional","10/25/2018 20:17:11",0,1,43398845263.7269
"Pump","10/25/2018 20:17:11",0,1,43398845263.7269
"Solenoid","10/25/2018 20:17:11",0,1,43398845263.7269
"PV_Out_PID","10/25/2018 20:17:11",38.57784,1,43398845263.7269
"SP_Out_PID","10/25/2018 20:17:11",-7.230892E-07,1,43398845263.7269
"In_Analog","10/25/2018 20:17:12",0,1,43398845275.3009
"In_Analog_MOVE","10/25/2018 20:17:12",0,1,43398845275.3009
"In_Analog_VOLTAGE","10/25/2018 20:17:12",3.032856,1,43398845275.3009
"In_PV_Percentual","10/25/2018 20:17:12",38.57784,1,43398845275.3009
"Out_LMN_PER_PID","10/25/2018 20:17:12",0,1,43398845275.3009
"Out_LMN_PID","10/25/2018 20:17:12",4.295302E-23,1,43398845275.3009
"Out_Proportional","10/25/2018 20:17:12",0,1,43398845275.3009
"Pump","10/25/2018 20:17:12",0,1,43398845275.3009
